order_transaction_id,order_transaction_type,order_transaction_date,original_sale_transaction_id,customer_id,return_type,shipped_date,delivered_date,pick_up_date,warehouse_received_date
#3305007,Sale,2024-01-29,#3305007,6640898015310,,2024-01-29,,,
#3305008,Sale,2024-01-29,#3305008,6126031142990,,2024-01-29,2024-02-02,,
#3305010,Sale,2024-01-29,#3305010,6627208101966,,2024-01-29,2024-02-03,,
#3305011,Sale,2024-01-29,#3305011,6640900505678,,2024-01-29,2024-02-02,,
#3305012,Sale,2024-01-29,#3305012,6640900833358,,2024-01-29,2024-02-03,,
#3305013,Sale,2024-01-29,#3305013,6640896999502,,2024-01-29,2024-02-02,,
#3305014,Sale,2024-01-29,#3305014,668473196622,,2024-01-29,2024-02-01,,
#3305015,Sale,2024-01-29,#3305015,6640900571214,,2024-01-29,2024-02-02,,
#3305016,Sale,2024-01-29,#3305016,6640898736206,,2024-01-29,2024-02-07,,
#3305017,Sale,2024-01-29,#3305017,6587273510990,,2024-01-29,2024-02-02,,
#3305018,Sale,2024-01-29,#3305018,6640900046926,,2024-01-29,2024-02-03,,
#3305019,Sale,2024-01-29,#3305019,6640901029966,,2024-01-29,2024-02-02,,
#3305020,Sale,2024-01-29,#3305020,6640901816398,,2024-01-29,2024-02-02,,
#3305021,Sale,2024-01-29,#3305021,6640902471758,,2024-01-29,2024-02-02,,
#3305022,Sale,2024-01-29,#3305022,6640902930510,,2024-01-29,2024-02-01,,
#3305023,Sale,2024-01-29,#3305023,6640903225422,,2024-01-29,2024-02-02,,
#3305024,Sale,2024-01-29,#3305024,5710021165134,,2024-01-29,2024-02-09,,
#3305025,Sale,2024-01-29,#3305025,6640903323726,,2024-01-29,2024-02-02,,
#3305026,Sale,2024-01-29,#3305026,6640901423182,,2024-01-29,2024-02-02,,
#3305027,Sale,2024-01-29,#3305027,6640902275150,,2024-01-29,2024-02-03,,
#3305028,Sale,2024-01-29,#3305028,6640903585870,,2024-01-29,2024-02-02,,
#3305029,Sale,2024-01-29,#3305029,6630906691662,,2024-01-29,2024-02-01,,
#3305030,Sale,2024-01-29,#3305030,6640375726158,,2024-01-29,2024-02-02,,
#3305031,Sale,2024-01-29,#3305031,6640904568910,,2024-01-29,2024-02-03,,
#3305032,Sale,2024-01-31,#3305032,6502732431438,,2024-01-31,2024-02-08,,
#3305034,Sale,2024-01-31,#3305034,6479611068494,,2024-01-31,2024-02-05,,
#3305035,Sale,2024-01-31,#3305035,6552134615118,,2024-01-31,,2024-02-02,
#3305036,Sale,2024-01-31,#3305036,6640905945166,,2024-01-31,2024-02-05,,
#3305037,Sale,2024-01-31,#3305037,6640906436686,,2024-01-31,2024-02-04,,
#3305038,Sale,2024-01-31,#3305038,6640906895438,,2024-01-31,2024-02-03,,
#3305039,Sale,2024-01-31,#3305039,6640906731598,,2024-01-31,2024-02-04,,
#3305040,Sale,2024-01-31,#3305040,6441083469902,,2024-01-31,2024-02-03,,
#3305041,Sale,2024-01-31,#3305041,6640906567758,,2024-01-31,2024-02-03,,
#3305042,Sale,2024-01-31,#3305042,6640906502222,,2024-01-31,2024-02-04,,
#3305043,Sale,2024-01-31,#3305043,6640906993742,,2024-01-31,2024-02-08,,
#3305044,Sale,2024-01-31,#3305044,6640907386958,,2024-01-31,2024-02-04,,
#3305045,Sale,2024-01-31,#3305045,5965231849550,,2024-01-31,2024-02-08,,
#3305046,Sale,2024-01-31,#3305046,5909839511630,,2024-01-31,2024-02-03,,
#3305047,Sale,2024-01-31,#3305047,6640908107854,,2024-01-31,2024-02-04,,
#3305048,Sale,2024-01-31,#3305048,6640904142926,,2024-01-31,2024-02-03,,
#3305049,Sale,2024-01-31,#3305049,5637016551502,,2024-01-31,2024-02-05,,
#3305050,Sale,2024-01-31,#3305050,6640908730446,,2024-01-31,2024-02-03,,
#3305051,Sale,2024-02-01,#3305051,6640908402766,,2024-02-01,2024-02-06,,
#3305052,Sale,2024-02-01,#3305052,6630228394062,,2024-02-15,2024-02-22,,
#3305053,Sale,2024-02-01,#3305053,6640909090894,,2024-02-01,2024-02-05,,
#3305054,Sale,2024-02-01,#3305054,5069979615310,,2024-02-01,2024-02-05,,
#3305055,Sale,2024-02-01,#3305055,6541466894414,,2024-02-01,2024-02-05,,
#3305056,Sale,2024-02-01,#3305056,6603976278094,,2024-02-01,2024-02-05,,
#3305057,Sale,2024-02-01,#3305057,6338904064078,,2024-02-01,2024-02-04,,
#3305058,Sale,2024-02-01,#3305058,6640909647950,,2024-02-01,,,
#3305059,Sale,2024-02-01,#3305059,6640910303310,,2024-02-01,2024-02-05,,
#3305060,Sale,2024-02-01,#3305060,6640910434382,,2024-02-01,2024-02-06,,
#3305061,Sale,2024-02-01,#3305061,5920157761614,,2024-02-01,2024-02-05,,
#3305062,Sale,2024-02-01,#3305062,6640911286350,,2024-02-01,2024-02-06,,
#3305063,Sale,2024-02-01,#3305063,6640910729294,,2024-02-01,2024-02-05,,
#3305064,Sale,2024-02-01,#3305064,6640910958670,,2024-02-01,2024-02-05,,
#3305065,Sale,2024-02-01,#3305065,6297842319438,,2024-02-01,2024-02-06,,
#3305066,Sale,2024-02-01,#3305066,6190169456718,,2024-02-01,,,
#3305067,Sale,2024-02-01,#3305067,6640911450190,,2024-02-01,2024-02-05,,
#3305069,Sale,2024-02-01,#3305069,6640911155278,,2024-02-01,2024-02-05,,
#3305070,Sale,2024-02-01,#3305070,6640910106702,,2024-02-01,2024-02-06,,
#3305071,Sale,2024-02-02,#3305071,6640913154126,,2024-02-02,2024-02-07,,
#3305072,Sale,2024-02-02,#3305072,6381933461582,,2024-02-02,2024-02-07,,
#3305073,Sale,2024-02-02,#3305073,6640914333774,,2024-02-02,2024-02-07,,
#3305074,Sale,2024-02-02,#3305074,6640913940558,,2024-02-02,2024-02-04,,
#3305075,Sale,2024-02-02,#3305075,6640915185742,,2024-02-02,2024-02-07,,
#3305076,Sale,2024-02-02,#3305076,6640914595918,,2024-02-02,2024-02-06,,
#3305077,Sale,2024-02-02,#3305077,6640915447886,,2024-02-02,2024-02-07,,
#3305078,Sale,2024-02-02,#3305078,6640915382350,,2024-02-02,2024-02-06,,
#3305079,Sale,2024-02-02,#3305079,6640915120206,,2024-02-02,2024-02-06,,
#3305080,Sale,2024-02-02,#3305080,6639364636750,,2024-02-02,2024-02-06,,
#3305081,Sale,2024-02-02,#3305081,6640915841102,,2024-02-02,2024-02-07,,
#3305082,Sale,2024-02-02,#3305082,6640916168782,,2024-02-02,2024-02-06,,
#3305083,Sale,2024-02-02,#3305083,6640915415118,,2024-02-02,2024-02-06,,
#3305084,Sale,2024-02-02,#3305084,6640916430926,,2024-02-02,2024-02-06,,
#3305085,Sale,2024-02-02,#3305085,6640909713486,,2024-02-02,2024-02-06,,
#3305086,Sale,2024-02-02,#3305086,6640916791374,,2024-02-02,,,
#3305087,Sale,2024-02-02,#3305087,6640914858062,,2024-02-02,2024-02-07,,
#3305088,Sale,2024-02-02,#3305088,6640917938254,,2024-02-02,2024-02-07,,
#3305089,Sale,2024-02-02,#3305089,6528024248398,,2024-02-02,,2024-02-05,
#3305091,Sale,2024-02-02,#3305091,6640915939406,,2024-02-02,2024-02-07,,
#3305092,Sale,2024-02-02,#3305092,6640917839950,,2024-02-02,2024-02-07,,
#3305093,Sale,2024-02-02,#3305093,6640918921294,,2024-02-02,2024-02-06,,
#3305094,Sale,2024-02-02,#3305094,6640918560846,,2024-02-02,2024-02-06,,
#3305095,Sale,2024-02-02,#3305095,6586254950478,,2024-02-02,2024-02-11,,
#3305097,Sale,2024-02-02,#3305097,6640920264782,,2024-02-02,2024-02-06,,
#3305098,Sale,2024-02-02,#3305098,6640920395854,,2024-02-02,2024-02-06,,
#3305099,Sale,2024-02-02,#3305099,6640914759758,,2024-02-02,2024-02-07,,
#3305100,Sale,2024-02-02,#3305100,6472218181710,,2024-02-02,2024-02-06,,
#3305101,Sale,2024-02-02,#3305101,6640920559694,,2024-02-02,2024-02-07,,
#3305102,Sale,2024-02-02,#3305102,6640920723534,,2024-02-02,2024-02-06,,
#3305103,Sale,2024-02-02,#3305103,5130167812174,,2024-02-02,2024-02-07,,
#3305104,Sale,2024-02-03,#3305104,6593731723342,,2024-02-03,2024-02-08,,
#3305105,Sale,2024-02-03,#3305105,6640922067022,,2024-02-03,2024-02-12,,
#3305106,Sale,2024-02-03,#3305106,6640923050062,,2024-02-03,2024-02-08,,
#3305107,Sale,2024-02-03,#3305107,6640922591310,,2024-02-03,2024-02-07,,
#3305108,Sale,2024-02-03,#3305108,5329304125518,,2024-02-03,2024-02-07,,
#3305109,Sale,2024-02-03,#3305109,6640923902030,,2024-02-03,2024-02-08,,
#3305110,Sale,2024-02-03,#3305110,6640923344974,,2024-02-03,2024-02-05,,
#3305111,Sale,2024-02-03,#3305111,5507911778382,,2024-02-03,2024-02-13,,
#3305112,Sale,2024-02-03,#3305112,6640924622926,,2024-02-03,,2024-02-04,
#3305113,Sale,2024-02-03,#3305113,6640924819534,,2024-02-03,2024-02-11,,
#3305114,Sale,2024-02-03,#3305114,6640848207950,,2024-02-03,2024-02-07,,
#3305115,Sale,2024-02-03,#3305115,6640925278286,,2024-02-03,2024-02-07,,
#3305116,Sale,2024-02-03,#3305116,6640925671502,,2024-02-03,2024-02-11,,
#3305117,Sale,2024-02-03,#3305117,6640923279438,,2024-02-03,2024-02-11,,
#3305118,Sale,2024-02-03,#3305118,6640926163022,,2024-02-03,2024-02-07,,
#3305119,Sale,2024-02-03,#3305119,6640926261326,,2024-02-03,2024-02-08,,
#3305120,Sale,2024-02-03,#3305120,6640926326862,,2024-02-03,2024-02-08,,
#3305121,Sale,2024-02-03,#3305121,6640926556238,,2024-02-03,2024-02-07,,
#3305123,Sale,2024-02-03,#3305123,6640927178830,,2024-02-03,2024-02-07,,
