row_id,transaction_id,marketing_source,marketing_medium,marketing_campaign
2121,#3308686,Email,email,welcome flow email
2122,#3308691,google,organic,(organic)
2123,#3308702,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2124,#3308713,Email,email,welcome flow email
2125,#3308724,(direct),(none),
2126,#3308725,google,organic,(organic)
2127,#3306827,instagram,instagram_organic,linkin.bio_shopurbanloom
2128,#3308736,google,organic,(organic)
2129,#3308737,facebook,cpc,fb_ts_prospecting_dv24_campaign
2130,#3308755,facebook,cpc,fb_prospecting_urbanloom_all
2131,#3308757,Email,email,welcome flow email
2132,#3308762,facebook,cpc,fb_ts_prospecting_dv24_campaign
2133,#3308769,Email,email,welcome flow email
2134,#3308771,google,organic,(organic)
2135,#3308774,(direct),(none),
2136,#3308788,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2137,#3308804,facebook,cpc,fb_prospecting_urbanloom_all_2024
2138,#3308808,google,organic,(organic)
2139,#3308823,bing,organic,(organic)
2140,#3308837,(direct),(none),
2141,#3308841,(direct),(none),
2142,#3308847,partner,affiliate,honest brand reviews
2143,#3308856,Email,email,welcome flow email
2144,#3308857,facebook,cpc,fb_prospecting_urbanloom_all_2024
2145,#3308858,google,organic,(organic)
2146,#3308868,google,(none),
2147,#3308871,google,organic,(organic)
2148,#3308881,facebook,cpc,fb_ts_prospecting_dv24_campaign
2149,#3308885,facebook,cpc,fb_prospecting_lowest cost_7dc1dv
2150,#3308886,(direct),(none),
2151,#3308893,google,affiliate,ww shopping
2152,#3308896,Email,email,welcome flow email
2153,#3308899,google,organic,(organic)
2154,#3308910,(direct),(none),
2155,#3308913,Email,email,welcome flow email
2156,#3308933,google,organic,(organic)
2157,#3308951,partner,affiliate,honest brand reviews
2158,#3308963,bing,organic,(organic)
2159,#3308968,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2160,#3308971,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2161,#3308989,google,(none),
2162,#3308991,Email,email,welcome flow email
2163,#3309001,google,organic,(organic)
2164,#3309002,facebook,cpc,fb_prospecting_urbanloom_all
2165,#3309003,google,organic,(organic)
2166,#3309010,(direct),(none),
2167,#3309011,(direct),(none),
2168,#3309012,google,organic,(organic)
2169,#3309024,google,shopping,ww-shopping-branded
2170,#3309052,facebook,cpc,fb_ts_prospecting_dv24_campaign
2171,#3309055,facebook,cpc,fb_prospecting_urbanloom_all_2024
2172,#3309056,google,organic,(organic)
2173,#3309063,facebook,cpc,fb_simplified_sales
2174,#3309071,(direct),(none),
2175,#3309077,google,organic,(organic)
2176,#3309087,(direct),(none),
2177,#3309090,google,(none),
2178,#3309096,facebook,cpc,fb_ts_prospecting_dv24_campaign
2179,#3309101,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2180,#3309109,google,organic,(organic)
2181,#3309113,google,organic,(organic)
2182,#3307329,instagram,instagram_organic,linkin.bio_shopurbanloom
2183,#3309129,google,cpc,nonbranded-generic_exact
2184,#3309141,google,organic,(organic)
2185,#3309149,facebook,cpc,fb_ts_prospecting_dv24_campaign
2186,#3309162,Email,email,welcome flow email
2187,#3309169,Email,email,welcome flow email
2188,#3309171,facebook,cpc,fb_ts_prospecting_dv24_campaign
2189,#3309181,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2190,#3309183,google,shopping,ww-shopping-branded
2191,#3309184,Email,email,welcome flow email
2192,#3309188,google,shopping,ww-shopping-branded
2193,#3309203,google,organic,(organic)
2194,#3309204,google,organic,(organic)
2195,#3309210,facebook,cpc,fb_ts_prospecting_dv24_campaign
2196,#3309220,google,(none),
2197,#3309237,google,(none),
2198,#3309239,Email,email,welcome flow email
2199,#3309241,Email,email,welcome flow email
2200,#3309257,google,organic,(organic)
2201,#3309258,google,(none),
2202,#3309262,facebook,cpc,fb_ts_prospecting_dv24_campaign
2203,#3309264,l.facebook.com,referral,(referral)
2204,#3309267,(direct),(none),
2205,#3309268,google,(none),
2206,#3309272,(direct),(none),
2207,#3309275,facebook,cpc,fb_ts_prospecting_dv24_campaign
2208,#3309280,pinterest,paid,shopping_catalogsales_c-multiproduct
2209,#3309286,facebook,cpc,fb_prospecting_consolidated_lowest cost
2210,#3309292,partner,affiliate,honest brand reviews
2211,#3309296,(direct),(none),
2212,#3309298,facebook,cpc,fb_ts_prospecting_dv24_campaign
2213,#3309307,(direct),(none),
2214,#3309315,google,organic,(organic)
2215,#3309318,Email,email,welcome flow email
2216,#3309326,(direct),(none),
2217,#3309329,Email,email,welcome flow email
2218,#3309330,(direct),(none),
2219,#3309332,facebook,cpc,fb_ts_prospecting_dv24_campaign
2220,#3309337,google,cpc,nonbranded-generic_exact
2221,#3309347,(direct),(none),
2222,#3309361,(direct),(none),
2223,#3307499,instagram,instagram_organic,linkin.bio_shopurbanloom
2224,#3309377,facebook,cpc,fb_ts_prospecting_dv24_campaign
2225,#3309394,Email,email,welcome flow email
2226,#3309402,(direct),(none),
2227,#3309404,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2228,#3309408,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2229,#3309411,(direct),(none),
2230,#3309416,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2231,#3309418,facebook,cpc,fb_prospecting_urbanloom_all_2024
2232,#3309434,(direct),(none),
2233,#3309440,Email,email,welcome flow email
2234,#3309464,(direct),(none),
2235,#3309471,(direct),(none),
2236,#3309480,Email,email,welcome flow email
2237,#3309483,(direct),(none),
2238,#3309487,google,organic,(organic)
2239,#3309489,Email,email,welcome flow email
2240,#3309491,facebook,cpc,fb_prospecting_urbanloom_all_2024
2241,#3309493,google,(none),
2242,#3309495,google,organic,(organic)
2243,#3309500,Email,email,welcome flow email
2244,#3309501,Email,email,welcome flow email
2245,#3309503,google,organic,(organic)
2246,#3309507,facebook,cpc,fb_prospecting_consolidated_simplifiedsales
2247,#3309514,facebook,cpc,fb_prospecting_urbanloom_all_2024
2248,#3309522,facebook,cpc,fb_prospecting_consolidated_lowest cost
2249,#3309534,facebook,cpc,fb_prospecting_consolidated_simplifiedsales
2250,#3309547,google,organic,(organic)
2251,#3309560,(direct),(none),
2252,#3309561,(direct),(none),
2253,#3309569,google,organic,(organic)
2254,#3309570,facebook,cpc,fb_prospecting_urbanloom_all
2255,#3309589,google,(none),
2256,#3309597,Email,email,welcome flow email
2257,#3309600,google,shopping,ww-shopping-branded
2258,#3309606,google,organic,(organic)
2259,#3309612,(direct),(none),
2260,#3309615,google,shopping,ww-shopping-branded
2261,#3309625,(direct),(none),
2262,#3309631,google,shopping,ww-shopping-branded
2263,#3309635,(direct),(none),
2264,#3309637,m.facebook.com,referral,(referral)
2265,#3309646,Email,email,welcome flow email
2266,#3309647,(direct),(none),
2267,#3309650,(direct),(none),
2268,#3309651,google,organic,(organic)
2269,#3309659,google,organic,(organic)
2270,#3309679,(direct),(none),
2271,#3309683,google,organic,(organic)
2272,#3309697,google,shopping,ww-shopping-branded
2273,#3309698,(direct),(none),
2274,#3309699,google,shopping,ww-shopping-branded
2275,#3309700,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2276,#3309710,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2277,#3309713,google,cpc,nonbranded-generic_exact
2278,#3309715,google,organic,(organic)
2279,#3309720,(direct),(none),
2280,#3309724,pinterest,paid,pint_v2345
